[GIN] 2025/08/05 - 14:35:28 | 200 |    1.485357ms |       127.0.0.1 | GET      "/api/v1/offers/public?tax_nds=20&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.523033ms |       127.0.0.1 | GET      "/api/v1/offers/public?units_per_lot=1&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.543099ms |       127.0.0.1 | GET      "/api/v1/offers/public?max_shipping_days=5&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.455636ms |       127.0.0.1 | GET      "/api/v1/offers/public?available_lots=5&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 200 |    1.229433ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&price_min=100&price_max=400&tax_nds=20&max_shipping_days=5&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:28 | 404 |         713ns |       127.0.0.1 | DELETE   "/api/v1/orders/122"
2025/08/05 14:35:28 DeleteOffer error: Error 1054 (42S22): Unknown column '$1' in 'where clause'
[GIN] 2025/08/05 - 14:35:28 | 500 |     467.325µs |       127.0.0.1 | DELETE   "/api/v1/offers/450"
2025/08/05 14:35:28 DeleteOffer error: Error 1054 (42S22): Unknown column '$1' in 'where clause'
[GIN] 2025/08/05 - 14:35:28 | 500 |     444.852µs |       127.0.0.1 | DELETE   "/api/v1/offers/451"
[GIN] 2025/08/05 - 14:35:29 | 500 |   93.740043ms |       127.0.0.1 | DELETE   "/api/v1/products/569"
[GIN] 2025/08/05 - 14:35:29 | 500 |   51.487145ms |       127.0.0.1 | DELETE   "/api/v1/products/570"
2025/08/05 14:35:29 DeleteWarehouse error: Error 1451 (23000): Cannot delete or update a parent row: a foreign key constraint fails (`portaldata`.`offers`, CONSTRAINT `offers_ibfk_2` FOREIGN KEY (`warehouse_id`) REFERENCES `warehouses` (`id`))
[GIN] 2025/08/05 - 14:35:29 | 500 |   99.024618ms |       127.0.0.1 | DELETE   "/api/v1/warehouses/250"
2025/08/05 14:35:29 DeleteWarehouse error: Error 1451 (23000): Cannot delete or update a parent row: a foreign key constraint fails (`portaldata`.`offers`, CONSTRAINT `offers_ibfk_2` FOREIGN KEY (`warehouse_id`) REFERENCES `warehouses` (`id`))
[GIN] 2025/08/05 - 14:35:29 | 500 |   46.641143ms |       127.0.0.1 | DELETE   "/api/v1/warehouses/251"
[GIN] 2025/08/05 - 14:37:20 | 200 |      33.111µs |       127.0.0.1 | GET      "/"
[GIN] 2025/08/05 - 14:37:20 | 200 |    1.849328ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:37:21 | 201 |  128.992648ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:37:21 | 201 |  131.800547ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:37:21 | 200 |    3.375043ms |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:37:21 | 200 |    1.387047ms |       127.0.0.1 | GET      "/api/v1/products/573"
[GIN] 2025/08/05 - 14:37:21 | 200 |  168.074937ms |       127.0.0.1 | PUT      "/api/v1/products/573"
[GIN] 2025/08/05 - 14:37:21 | 400 |     460.272µs |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/08/05 - 14:37:21 | 403 |     548.353µs |       127.0.0.1 | PUT      "/api/v1/products/573"
[GIN] 2025/08/05 - 14:37:21 | 403 |     530.828µs |       127.0.0.1 | DELETE   "/api/v1/products/573"
[GIN] 2025/08/05 - 14:37:21 | 201 |   103.98443ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:37:21 | 201 |   99.478271ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:37:21 | 200 |    4.161507ms |       127.0.0.1 | GET      "/api/v1/warehouses"
[GIN] 2025/08/05 - 14:37:21 | 403 |    1.874433ms |       127.0.0.1 | PUT      "/api/v1/warehouses/252"
[GIN] 2025/08/05 - 14:37:21 | 403 |     372.228µs |       127.0.0.1 | DELETE   "/api/v1/warehouses/252"
[GIN] 2025/08/05 - 14:37:21 | 201 |  233.416433ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:37:22 | 201 |  269.000252ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/08/05 - 14:37:22 | 200 |    3.892733ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:37:22 | 200 |    3.067713ms |       127.0.0.1 | GET      "/api/v1/offers?filter=my"
[GIN] 2025/08/05 - 14:37:22 | 200 |    2.973472ms |       127.0.0.1 | GET      "/api/v1/offers?filter=others"
[GIN] 2025/08/05 - 14:37:22 | 200 |    2.557928ms |       127.0.0.1 | GET      "/api/v1/offers?filter=all"
[GIN] 2025/08/05 - 14:37:22 | 200 |     1.04785ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/08/05 - 14:37:22 | 200 |     977.943µs |       127.0.0.1 | GET      "/api/v1/offers?filter=invalid"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.686097ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:37:22 | 403 |     398.862µs |       127.0.0.1 | PUT      "/api/v1/offers/454"
[GIN] 2025/08/05 - 14:37:22 | 403 |     309.276µs |       127.0.0.1 | DELETE   "/api/v1/offers/454"
[GIN] 2025/08/05 - 14:37:22 | 201 |  222.854004ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.271404ms |       127.0.0.1 | GET      "/api/v1/orders"
[GIN] 2025/08/05 - 14:37:22 | 200 |     524.079µs |       127.0.0.1 | GET      "/api/v1/orders/123"
[GIN] 2025/08/05 - 14:37:22 | 200 |  105.807609ms |       127.0.0.1 | PUT      "/api/v1/orders/123/status"
[GIN] 2025/08/05 - 14:37:22 | 200 |    2.056832ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/08/05 - 14:37:22 | 401 |      37.822µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:37:22 | 401 |     279.448µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/08/05 - 14:37:22 | 404 |     392.152µs |       127.0.0.1 | GET      "/api/v1/products/999999"
[GIN] 2025/08/05 - 14:37:22 | 404 |     502.425µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:37:22 | 400 |     582.555µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:37:22 | 400 |     540.303µs |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/08/05 - 14:37:22 | 201 |  100.560422ms |       127.0.0.1 | POST     "/api/v1/products/batch"
[GIN] 2025/08/05 - 14:37:22 | 201 |  242.112974ms |       127.0.0.1 | POST     "/api/v1/offers/batch"
[GIN] 2025/08/05 - 14:37:22 | 200 |   18.294691ms |       127.0.0.1 | GET      "/api/v1/offers/wb_stock?product_id=573&warehouse_id=252&supplier_id=42009"
[GIN] 2025/08/05 - 14:37:22 | 200 |     564.749µs |       127.0.0.1 | GET      "/api/v1/offers/454"
[GIN] 2025/08/05 - 14:37:22 | 404 |         865ns |       127.0.0.1 | GET      "/api/v1/warehouses/252"
[GIN] 2025/08/05 - 14:37:22 | 200 |     397.109µs |       127.0.0.1 | GET      "/api/v1/offers/454"
[GIN] 2025/08/05 - 14:37:22 | 200 |  162.405607ms |       127.0.0.1 | PUT      "/api/v1/offers/454"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.770547ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.460714ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.459885ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:37:22 | 200 |    3.575396ms |       127.0.0.1 | POST     "/api/v1/offers/public/filter"
[GIN] 2025/08/05 - 14:37:22 | 400 |     256.526µs |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.082549ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&page=1&limit=5"
[GIN] 2025/08/05 - 14:37:22 | 200 |    1.628011ms |       127.0.0.1 | GET      "/api/v1/offers/public?price_min=100&price_max=300&page=1&limit=5"
